Rank;Track;Artist;Streams;Date
102;Sobrenatural;by Juan Magán, Alvaro Soler, Marielle Hazlo;60166;8/2/19
103;Me Vuelvo Loco;by Abraham Mateo, CNCO;58017;8/2/19
104;Beautiful People (feat. Khalid);by Ed Sheeran;57771;8/2/19
105;Con La Miel En Los Labios;by Aitana;57149;8/2/19
106;Shallow;by Lady Gaga, Bradley Cooper;57148;8/2/19
107;Una Vida Para Recordar;by Piso 21, Myke Towers;56402;8/2/19
108;MALAMENTE - Cap.1: Augurio;by ROSALÍA;56402;8/2/19
109;Qué Bonito Es Querer;by Manuel Carrasco;56032;8/2/19
110;Mujer Bruja;by Lola Indigo, Mala Rodríguez;55266;8/2/19
111;Serpiente Veneno (feat. Ele A El Dominio);by Kidd Keo;55005;8/2/19
112;Mona Lisa;by Nacho, Nicky Jam;54252;8/2/19
113;Vas A Quedarte;by Aitana;51812;8/2/19
114;Te echo de menos;by Beret;51526;8/2/19
115;Te Olvidaré;by MYA, Pedro Capó;51329;8/2/19
116;Por Eso Vine;by Paulo Londra;51138;8/2/19
117;Pa ti pa mí na má;by Demarco Flamenco;51027;8/2/19
118;Sin Pijama;by Becky G, Natti Natasha;50956;8/2/19
119;Cuando Nadie Ve;by Morat;50701;8/2/19
120;Vaina Loca;by Ozuna, Manuel Turizo;50235;8/2/19
121;Imposible;by Luis Fonsi, Ozuna;50158;8/2/19
122;Someone You Loved;by Lewis Capaldi;49790;8/2/19
123;Déjala Que Baile (with Alejandro Sanz & Arkano);by Melendi;48912;8/2/19
124;Te esperaré toda la vida;by Dani Fernández;48822;8/2/19
125;La Libertad;by Alvaro Soler;48504;8/2/19
126;Llégale;by Lunay, Zion & Lennox;47694;8/2/19
127;Qué Tienes Tú (feat. Jesús de Reik & Mau y Ricky);by Dvicio, Jesús Reik;47622;8/2/19
128;No Te Preocupes por Mi;by Leiva;47603;8/2/19
129;Fuego;by Estopa;47299;8/2/19
130;Ya No Quiero Ná;by Lola Indigo;47082;8/2/19
131;Cristina;by Sebastian Yatra;46731;8/2/19
132;Don't Call Me Up;by Mabel;46556;8/2/19
133;Soldadito marinero;by Fito y Fitipaldis;46299;8/2/19
134;Brasilera;by Dvicio;46237;8/2/19
135;Besos En Guerra;by Morat, Juanes;46000;8/2/19
136;Otra Vez;by Justin Quiles;45401;8/2/19
137;Princesas;by Pereza;44686;8/2/19
138;Lo siento;by Beret;44520;8/2/19
139;Desconocidos;by Mau y Ricky, Manuel Turizo, Camilo;44200;8/2/19
140;Perdón;by David Bisbal, Greeicy;44178;8/2/19
141;Guantanamera;by Guitarricadelafuente;43884;8/2/19
142;Bohemian Rhapsody - Remastered 2011;by Queen;43393;8/2/19
143;How Do You Sleep?;by Sam Smith;43183;8/2/19
144;Destino;by Greeicy, Nacho;43176;8/2/19
145;Ganas Sobran;by Bryant Myers, Miky Woodz, Justin Quiles;43168;8/2/19
146;Trueno: Bzrp Freestyle Sessions, Vol. 6;by Bizarrap, Trueno;42745;8/2/19
147;7 rings;by Ariana Grande;42452;8/2/19
148;R.I.P. (feat. Rita Ora & Anitta);by Sofía Reyes;42237;8/2/19
149;Disparos;by Dani Fernández;42173;8/2/19
150;MIA (feat. Drake);by Bad Bunny;42129;8/2/19
151;Cuando zarpa el amor (feat. Juan Magán);by Camela;41327;8/2/19
152;Taki Taki (feat. Selena Gomez, Ozuna & Cardi B);by DJ Snake;41259;8/2/19
153;Como Tu;by Bandaga;41211;8/2/19
154;Soldi;by Mahmood;41190;8/2/19
155;Goodbyes (Feat. Young Thug);by Post Malone;41153;8/2/19
156;Usted;by Juan Magán, Mala Rodríguez;41086;8/2/19
157;No Lo Trates;by Pitbull, Daddy Yankee, Natti Natasha;40837;8/2/19
158;A Partir De Hoy;by David Bisbal, Sebastian Yatra;40835;8/2/19
159;Esclavo de Tus Besos;by Manuel Turizo, Ozuna;40575;8/2/19
160;Adictiva;by Daddy Yankee, Anuel AA;40313;8/2/19
161;TELÉFONO;by Aitana;40076;8/2/19
162;Me Rehúso;by Danny Ocean;40058;8/2/19
163;Piece Of Your Heart;by MEDUZA, Goodboys;40002;8/2/19
164;Tenamoras;by DELLAFUENTE, Mala Rodríguez;39996;8/2/19
165;La Boca;by Mau y Ricky, Camilo;39902;8/2/19
166;Te Vi;by Piso 21, Micro TDH;39838;8/2/19
167;Otra Copa;by Bandaga;39833;8/2/19
168;Tan Buena;by Gente De Zona, Mau y Ricky;39777;8/2/19
169;COMO UN BEBÉ;by J Balvin, Bad Bunny, Mr Eazi;39728;8/2/19
170;Soltera;by Lunay, Chris Jedi, Gaby Music;39644;8/2/19
171;Sirenas;by Taburete;39586;8/2/19
172;Como Camarón;by Estopa;39355;8/2/19
173;Vuela;by Bombai;38938;8/2/19
174;Como el Agua;by Omar Montes;38821;8/2/19
175;La Plata (feat. Lalo Ebratt);by Juanes;38783;8/2/19
176;Bandolera;by Bryant Myers, Alex Rose;38284;8/2/19
177;Mejor No Nos Vemos;by Rels B;38208;8/2/19
178;High Hopes;by Panic! At The Disco;38181;8/2/19
179;Never Really Over;by Katy Perry;37951;8/2/19
180;Tal Vez (feat. Rayden);by Nil Moliner;37622;8/2/19
181;Solterita De Oro;by Lérica, Gente De Zona, Leslie Shaw;37609;8/2/19
182;Say My Name;by David Guetta, Bebe Rexha, J Balvin;37512;8/2/19
183;A Escondidas;by $kyhook, Morad;37442;8/2/19
184;Antes de Morirme (feat. Rosalía);by C. Tangana, ROSALÍA;37121;8/2/19
185;La Cintura;by Alvaro Soler;37100;8/2/19
186;Ta To Gucci (Remix);by Cauty, Brytiago, Darell, Cosculluela, Rafa Pabön, Chencho Corleone;37080;8/2/19
187;Sweet but Psycho;by Ava Max;36913;8/2/19
188;Que Me Baile;by ChocQuibTown, Becky G;36595;8/2/19
189;Échame La Culpa;by Luis Fonsi, Demi Lovato;36493;8/2/19
190;Mi Religión;by Nil Moliner;36366;8/2/19
191;Booty;by C. Tangana, Becky G;36303;8/2/19
192;DJ No Pare;by Justin Quiles;35843;8/2/19
193;Como Si Fueras a Morir Mañana;by Leiva;35672;8/2/19
194;Ransom;by Lil Tecca;35663;8/2/19
